Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
SRR957961_1 - illumina_universal_adapter	(1, 0.31287191216371935)	(2, 0.3159110182197216)	(3, 0.3164258565146296)	(4, 0.3187785115107546)	(5, 0.3190468514705248)	(6, 0.319589771854246)	(7, 0.3206194484440619)	(8, 0.3220110719563587)	(9, 0.3225727137326219)	(10, 0.32549481108523604)	(12, 0.3289645091697069)	(14, 0.33239676446909344)	(16, 0.3354452312213668)	(18, 0.3391271050879815)	(20, 0.342283219847372)	(22, 0.34494945816857725)	(24, 0.34751116871475585)	(26, 0.3496500878126917)	(28, 0.35163923577029077)	(30, 0.353319480750945)	(32, 0.3550309280525028)	(34, 0.35674861581824124)	(36, 0.35913871359945043)	(38, 0.3612994743220188)	(40, 0.36381750161893245)	(42, 0.3668566076749347)	(44, 0.3702607808855082)	(46, 0.37419383343539614)	(48, 0.3782735368935306)	(50, 0.3833891574056618)	(52, 0.3903847177522297)	(54, 0.3995301180090498)	(56, 0.4113074340340813)	(58, 0.4269460372709227)	(60, 0.4486784537802204)	(62, 0.4788464177457833)	(64, 0.519977317160796)	(66, 0.5738496843167588)	(68, 0.6433544142453822)	(70, 0.7330657671911216)	(72, 0.8515909033752112)	(74, 1.0021452219667584)	(76, 1.185998657426536)	(78, 1.402020125621792)	(80, 1.6561879912376394)	(82, 1.9587272548341599)	(84, 2.3159829083670838)	(86, 2.7235398234285624)	(88, 3.1703445778385264)	(90, 3.5177402979659393)
SRR957961_1 - polya	(1, 0.006477601819569584)	(2, 0.007953471598305813)	(3, 0.008696086835809455)	(4, 0.009810009692064919)	(5, 0.010583827250472076)	(6, 0.011189152276000255)	(7, 0.012044095868756549)	(8, 0.0153047384031738)	(9, 0.019919561664803576)	(10, 0.025414290375912457)	(12, 0.029707729732236038)	(14, 0.03703871502851674)	(16, 0.04613263145584601)	(18, 0.052435500278355904)	(20, 0.05941389934842689)	(22, 0.06637357702595578)	(24, 0.07252355447603845)	(26, 0.07910568407063481)	(28, 0.08455204918434325)	(30, 0.08953818006472485)	(32, 0.0941795252991226)	(34, 0.09901276480707699)	(36, 0.10337172903729794)	(38, 0.10793506846943693)	(40, 0.11669043971496305)	(42, 0.12215864645330395)	(44, 0.12823841868135372)	(46, 0.1347347418934654)	(48, 0.14041824464604058)	(50, 0.14615635146019684)	(52, 0.1528804516149042)	(54, 0.1613159990711693)	(56, 0.16776551880192575)	(58, 0.17373764302285838)	(60, 0.17989854128525729)	(62, 0.18608128117228867)	(64, 0.21562675883582644)	(66, 0.2388100832671376)	(68, 0.24506770872433742)	(70, 0.25143142207260916)	(72, 0.2577264903148932)	(74, 0.26362996942983813)	(76, 0.2701933776318924)	(78, 0.27630591229689083)	(80, 0.28175071729455414)	(82, 0.2876292345527762)	(84, 0.29493681810837924)	(86, 0.3027998029760649)	(88, 0.3089248185694248)	(90, 0.3136082869370423)
SRR957961_2 - illumina_universal_adapter	(1, 0.26958493237427383)	(2, 0.26990631627958006)	(3, 0.27030258575505467)	(4, 0.27250234937875245)	(5, 0.27267084191163143)	(6, 0.27304838999456393)	(7, 0.2737785243037062)	(8, 0.274895567392052)	(9, 0.27526999524289414)	(10, 0.2775867675699801)	(12, 0.2804043371475674)	(14, 0.28324998881396796)	(16, 0.2858304207526886)	(18, 0.2889459724949045)	(20, 0.29153732524594134)	(22, 0.2937916929312203)	(24, 0.2960101779474602)	(26, 0.29786983627330965)	(28, 0.29984494318650207)	(30, 0.3016843200037642)	(32, 0.30354709856170403)	(34, 0.3053521528259724)	(36, 0.3079435055770092)	(38, 0.3102072339585592)	(40, 0.31249904442892235)	(42, 0.3151356405452693)	(44, 0.3180312159251154)	(46, 0.3214166677431467)	(48, 0.32508294044930963)	(50, 0.3295932359359127)	(52, 0.3358009376796669)	(54, 0.3438932596059933)	(56, 0.35446148569601366)	(58, 0.3685930168332153)	(60, 0.3882333177259324)	(62, 0.4156336358273536)	(64, 0.453060819751119)	(66, 0.5023027624850003)	(68, 0.5655264652157463)	(70, 0.6476899767349256)	(72, 0.7548449871817745)	(74, 0.8771643255877316)	(76, 1.0216404320672743)	(78, 1.1923826522833951)	(80, 1.395795262601541)	(82, 1.6355632571204164)	(84, 1.918933374869863)	(86, 2.283129984687773)	(88, 2.700320616328212)	(90, 3.0409126703826135)
SRR957961_2 - polya	(1, 0.01232803698897853)	(2, 0.014353067615616612)	(3, 0.015242333761366772)	(4, 0.016733804700554758)	(5, 0.017894531038165493)	(6, 0.0187744364876446)	(7, 0.019978846074520253)	(8, 0.023885376651640252)	(9, 0.02850019991327003)	(10, 0.03484051152086415)	(12, 0.03942725269368076)	(14, 0.04716854850984268)	(16, 0.05619225971513903)	(18, 0.06246704644883577)	(20, 0.06953281201743661)	(22, 0.07670934582524491)	(24, 0.08352237259452727)	(26, 0.09069890640233558)	(28, 0.09731379843388063)	(30, 0.10401449684791034)	(32, 0.11036104891968516)	(34, 0.11704302594117277)	(36, 0.12307287445577691)	(38, 0.1291074033185166)	(40, 0.13674885170778728)	(42, 0.14263984989437078)	(44, 0.14877734641609205)	(46, 0.15548896564243803)	(48, 0.16139088464133775)	(50, 0.16727564236374054)	(52, 0.17417603563155276)	(54, 0.18266930738148937)	(56, 0.18988796432251742)	(58, 0.2446449172760948)	(60, 0.3075347551731732)	(62, 0.31791420722172725)	(64, 0.32484112246230745)	(66, 0.3312797213807476)	(68, 0.3378197278421242)	(70, 0.3451351119779532)	(72, 0.3521774758058764)	(74, 0.3581261982861314)	(76, 0.36442126652841544)	(78, 0.3707974608050486)	(80, 0.376465362397172)	(82, 0.38220970967550894)	(84, 0.389144425496315)	(86, 0.39929454048622826)	(88, 0.4060872857469233)	(90, 0.41147124621882475)
SRR957965_1 - illumina_universal_adapter	(1, 0.2919918594143395)	(2, 0.2946350050636309)	(3, 0.29748263476028863)	(4, 0.3079491885921531)	(5, 0.3103727032276065)	(6, 0.31585969183193774)	(7, 0.3180900826448785)	(8, 0.3236944602393645)	(9, 0.328261270630547)	(10, 0.34005886414110187)	(12, 0.35900961256786224)	(14, 0.3825082376777156)	(16, 0.4075272395471542)	(18, 0.43592212156894705)	(20, 0.46966009601359104)	(22, 0.5012604548149329)	(24, 0.5277013781618913)	(26, 0.5490245202122634)	(28, 0.568876513144083)	(30, 0.5860853604266113)	(32, 0.6002761746396764)	(34, 0.6131226955783884)	(36, 0.6253822715663266)	(38, 0.6374392568777073)	(40, 0.6496212046624786)	(42, 0.6611007118771302)	(44, 0.6718266575098205)	(46, 0.6830770668565894)	(48, 0.6929453155128262)	(50, 0.7023667286581514)	(52, 0.7125757840599989)	(54, 0.7249186683635309)	(56, 0.7366215933336383)	(58, 0.7481806221222658)	(60, 0.7623619694812861)	(62, 0.7771226883078446)	(64, 0.7962230130285117)	(66, 0.8107281267958621)	(68, 0.8285864002658596)	(70, 0.8416790594097348)	(72, 0.8593574626528822)	(74, 0.8728155423628843)	(76, 0.8930499961981114)	(78, 0.9125555022718935)	(80, 0.9297719230376575)	(82, 0.9487075244979462)	(84, 0.9709167640869061)	(86, 0.9972156846231934)	(88, 1.0491035116424128)	(90, 1.1309255311510997)
SRR957965_1 - polya	(1, 0.004612251290597278)	(2, 0.005740700292730274)	(3, 0.006142094904227246)	(4, 0.006785840979269559)	(5, 0.007308411322539201)	(6, 0.007883996048459387)	(7, 0.008550462573209076)	(8, 0.0104968477648076)	(9, 0.012859774534374677)	(10, 0.015887274457882496)	(12, 0.018231267519360096)	(14, 0.021567386884726435)	(16, 0.024922439958182253)	(18, 0.027274006502895645)	(20, 0.03339906106984236)	(22, 0.03950518192869959)	(24, 0.04221459555630415)	(26, 0.04520801480525091)	(28, 0.04824119484118557)	(30, 0.0508426863326801)	(32, 0.05339305681233302)	(34, 0.056269087071125004)	(36, 0.05905612890189643)	(38, 0.06235059410946592)	(40, 0.06631909932502089)	(42, 0.07032736532756376)	(44, 0.07418794840700868)	(46, 0.07857299520053221)	(48, 0.08295236188162888)	(50, 0.08854348588045227)	(52, 0.1019144705332429)	(54, 0.11826940758093554)	(56, 0.13135070649995712)	(58, 0.14706947095584327)	(60, 0.15804344816450577)	(62, 0.1787550314435877)	(64, 1.3868278495760817)	(66, 1.469155399090758)	(68, 1.481308946313395)	(70, 1.49080230754946)	(72, 1.5006213285646643)	(74, 1.5130058670259932)	(76, 1.5269713701127934)	(78, 1.5423569013063045)	(80, 1.5565874763063576)	(82, 1.5707669302945693)	(84, 1.5894942609658735)	(86, 1.607308986907265)	(88, 1.6217137520217413)	(90, 1.6322257467530206)
SRR957965_2 - illumina_universal_adapter	(1, 0.2897387481516914)	(2, 0.2918063090750626)	(3, 0.2935974378603274)	(4, 0.3006029098534349)	(5, 0.302019151218528)	(6, 0.3050636914793164)	(7, 0.3063701173374905)	(8, 0.31024016727098014)	(9, 0.3132430533739716)	(10, 0.321674233586217)	(12, 0.3368041597205203)	(14, 0.35849082896621043)	(16, 0.3820898027289381)	(18, 0.4089434809122473)	(20, 0.4360792713460897)	(22, 0.46163599052526955)	(24, 0.4870544936353962)	(26, 0.5091293038969207)	(28, 0.5297765125684983)	(30, 0.5476025987347436)	(32, 0.5630487177941412)	(34, 0.5778851714530576)	(36, 0.5931419534315604)	(38, 0.6075239980963293)	(40, 0.6218833223113907)	(42, 0.6362293929307896)	(44, 0.6495397897176939)	(46, 0.6637097768518605)	(48, 0.6760924219423803)	(50, 0.6885318681571686)	(52, 0.7024481436029362)	(54, 0.7183335246900098)	(56, 0.7337436697040374)	(58, 0.7486861521282548)	(60, 0.7640887236590466)	(62, 0.7799324505883234)	(64, 0.7935382132214235)	(66, 0.8101657956656048)	(68, 0.8309569005186624)	(70, 0.845969437662811)	(72, 0.866094075991119)	(74, 0.8813073104410161)	(76, 0.9022782855209239)	(78, 0.9221264917111255)	(80, 0.9395852639404348)	(82, 0.9586439345033053)	(84, 0.9807887994847608)	(86, 1.006300077764526)	(88, 1.0389114965778459)	(90, 1.0681867960257996)
SRR957965_2 - polya	(1, 0.009387332470764082)	(2, 0.010985337433516177)	(3, 0.011613936542086907)	(4, 0.012606062845975648)	(5, 0.013352050944701151)	(6, 0.013965503086800297)	(7, 0.014756932084940553)	(8, 0.016851000199637017)	(9, 0.019403264050098894)	(10, 0.0223985766698546)	(12, 0.02480505096802748)	(14, 0.028184717861999622)	(16, 0.031666626779654955)	(18, 0.034355213328361084)	(20, 0.03764589179431268)	(22, 0.04082486138253633)	(24, 0.043575929167937746)	(26, 0.046378117965180765)	(28, 0.049318522831476974)	(30, 0.052077164100114176)	(32, 0.05462185446734026)	(34, 0.057626633941140704)	(36, 0.06005772205982991)	(38, 0.06259673231462914)	(40, 0.0655466040349701)	(42, 0.06811022811028566)	(44, 0.07095596443613449)	(46, 0.07391719638132913)	(48, 0.07646567349017311)	(50, 0.0789554561039397)	(52, 0.08222530749099285)	(54, 0.08755325294737247)	(56, 0.10002299309510387)	(58, 1.682875309263188)	(60, 1.876250950093472)	(62, 1.8910741501567256)	(64, 1.9002115576807088)	(66, 1.908599190364348)	(68, 1.9198439195986903)	(70, 1.9344304483108254)	(72, 1.9521751195322858)	(74, 1.9699652316531613)	(76, 1.9895672996381997)	(78, 2.0142454947620276)	(80, 2.0377157193097464)	(82, 2.0549681141208804)	(84, 2.0707342128469906)	(86, 2.0863090811213967)	(88, 2.0995456364467517)	(90, 2.109192360718342)
SRR957965_2 - polyg	(1, 0.0012155440593446028)	(2, 0.0014654690061257363)	(3, 0.001757048110703725)	(4, 0.002048627215281714)	(5, 0.0027984020556251136)	(6, 0.003434574647431635)	(7, 0.003949571507465485)	(8, 0.004616038032215174)	(9, 0.00629735131056098)	(10, 0.011157634177130444)	(12, 0.01909653797904932)	(14, 0.022665541953916263)	(16, 0.025202658837906556)	(18, 0.026840424587646558)	(20, 0.028595579327541337)	(22, 0.03026174563941556)	(24, 0.03159846543053283)	(26, 0.03328545882130548)	(28, 0.0348607433343502)	(30, 0.0363678664982728)	(32, 0.038105980900887036)	(34, 0.03956198305296803)	(36, 0.04095550396835375)	(38, 0.04265007084236219)	(40, 0.04429162333372008)	(42, 0.04599944380339116)	(44, 0.04758608854128957)	(46, 0.049292015640151704)	(48, 0.05114562566211177)	(50, 0.05305982354995818)	(52, 0.054864205930885604)	(54, 0.05662693415401618)	(56, 0.058948206765786396)	(58, 0.06093056600275493)	(60, 0.06294321917266663)	(62, 0.0649501922301515)	(64, 0.06713703551448641)	(66, 0.06972527341031828)	(68, 0.07244226052115865)	(70, 0.07487524201065679)	(72, 0.07748809372700502)	(74, 0.08004414431908478)	(76, 0.08273083749698196)	(78, 0.08590223360196983)	(80, 0.08937278229477148)	(82, 0.09252335132086092)	(84, 0.09547322304120187)	(86, 0.09912742870247147)	(88, 0.10301262560243273)	(90, 0.10685048823217028)
SRR957971_1 - illumina_universal_adapter	(1, 0.3838413965613346)	(2, 0.3864505369807804)	(3, 0.389468459554917)	(4, 0.4031601383904228)	(5, 0.4054715239070692)	(6, 0.4097208396385457)	(7, 0.4115426959082168)	(8, 0.4166499494952171)	(9, 0.4197889927077806)	(10, 0.4314619942361716)	(12, 0.44714207021918545)	(14, 0.4645758721127552)	(16, 0.4816362187045088)	(18, 0.5026304626985022)	(20, 0.5224513505077352)	(22, 0.5391811386904487)	(24, 0.5517903018200143)	(26, 0.5626053654928815)	(28, 0.5733951956994099)	(30, 0.581560745406689)	(32, 0.5881113532682765)	(34, 0.5946998113293722)	(36, 0.601406866682261)	(38, 0.6064939334961901)	(40, 0.6117197843749834)	(42, 0.6161659211439037)	(44, 0.6204177602220142)	(46, 0.6246998794597314)	(48, 0.6281190141486569)	(50, 0.6309931059646615)	(52, 0.6340514020849404)	(54, 0.6373998830681169)	(56, 0.641613871946719)	(58, 0.6451061836880275)	(60, 0.6496608243622053)	(62, 0.6548134981886156)	(64, 0.661434759755952)	(66, 0.666761544500101)	(68, 0.6753207362822676)	(70, 0.6803144392707428)	(72, 0.6893707303397862)	(74, 0.6942609761162718)	(76, 0.7053914581183758)	(78, 0.7156286754120815)	(80, 0.7244982388302168)	(82, 0.7347076993109498)	(84, 0.7468601366997805)	(86, 0.7618664791315448)	(88, 0.7927244851174278)	(90, 0.8445388848977956)
